operating_point,threshold,description,val_TP,val_TN,val_FP,val_FN,val_precision,val_recall,val_f1,val_accuracy,val_fpr,val_fnr,test_TP,test_TN,test_FP,test_FN,test_precision,test_recall,test_f1,test_accuracy,test_fpr,test_fnr
CURRENT_FROZEN,0.017674,Persisted production threshold from Step 4 validation search,173,483,406,119,0.2988,0.5925,0.3972,0.5555,0.4567,0.4075,152,463,430,137,0.2612,0.526,0.349,0.5203,0.4815,0.474
VAL_MAX_F1,0.01724,Threshold maximizing validation F1-score on validation grid,174,480,409,118,0.2985,0.5959,0.3977,0.5538,0.4601,0.4041,153,458,435,136,0.2602,0.5294,0.3489,0.5169,0.4871,0.4706
HIGH_RECALL_85,0.00069,Threshold targeting validation recall >= 85%,292,1,888,0,0.2475,1.0,0.3967,0.2481,0.9989,0.0,289,0,893,0,0.2445,1.0,0.3929,0.2445,1.0,0.0
LOWER_FPR_20,0.687772,Threshold constraining validation FPR <= 20%,26,725,164,266,0.1368,0.089,0.1079,0.6359,0.1845,0.911,15,751,142,274,0.0955,0.0519,0.0673,0.6481,0.159,0.9481
PERCENTILE_90_NORMAL,1.972147,90th percentile of normal validation reconstruction errors,7,800,89,285,0.0729,0.024,0.0361,0.6833,0.1001,0.976,1,818,75,288,0.0132,0.0035,0.0055,0.6929,0.084,0.9965
PERCENTILE_95_NORMAL,2.963099,95th percentile of normal validation reconstruction errors,1,844,45,291,0.0217,0.0034,0.0059,0.7155,0.0506,0.9966,0,885,8,289,0.0,0.0,0.0,0.7487,0.009,1.0
PERCENTILE_99_NORMAL,3.622379,99th percentile of normal validation reconstruction errors,0,880,9,292,0.0,0.0,0.0,0.7451,0.0101,1.0,0,893,0,289,0.0,0.0,0.0,0.7555,0.0,1.0
