TP,TN,FP,FN,total,accuracy,precision,recall,f1,threshold
175,1,429,0,605,0.2909090909090909,0.2897350993377483,1.0,0.4492939666238767,0.031071888282895
175,1,429,0,605,0.2909090909090909,0.2897350993377483,1.0,0.4492939666238767,0.031145281240344002
175,5,425,0,605,0.2975206611570248,0.2916666666666667,1.0,0.45161290322580644,0.03421356945249851
175,9,421,0,605,0.30413223140495865,0.2936241610738255,1.0,0.45395590142671854,0.03742630834497458
175,13,417,0,605,0.31074380165289256,0.2956081081081081,1.0,0.4563233376792699,0.03849386668355268
175,17,413,0,605,0.31735537190082647,0.2976190476190476,1.0,0.4587155963302752,0.03999715881369651
175,21,409,0,605,0.3239669421487603,0.2996575342465753,1.0,0.461133069828722,0.04174403830612659
175,25,405,0,605,0.3305785123966942,0.3017241379310345,1.0,0.46357615894039733,0.04247545294143602
175,29,401,0,605,0.3371900826446281,0.3038194444444444,1.0,0.46604527296937415,0.04377818347073641
175,33,397,0,605,0.343801652892562,0.30594405594405594,1.0,0.46854082998661317,0.045747062495590796
175,38,392,0,605,0.35206611570247937,0.30864197530864196,1.0,0.4716981132075471,0.04753826469703005
175,42,388,0,605,0.3586776859504132,0.3108348134991119,1.0,0.4742547425474255,0.04898837670693856
175,46,384,0,605,0.3652892561983471,0.31305903398926654,1.0,0.4768392370572207,0.05103477079696298
175,50,380,0,605,0.371900826446281,0.3153153153153153,1.0,0.4794520547945206,0.05287740874610487
175,52,378,0,605,0.3752066115702479,0.31645569620253167,1.0,0.48076923076923084,0.05357231534767462
175,54,376,0,605,0.3785123966942149,0.3176043557168784,1.0,0.4820936639118457,0.05369560520840967
175,58,372,0,605,0.3851239669421488,0.31992687385740404,1.0,0.4847645429362881,0.05556306267844744
175,62,368,0,605,0.39173553719008264,0.32228360957642727,1.0,0.48746518105849584,0.05694905727391673
175,66,364,0,605,0.39834710743801655,0.3246753246753247,1.0,0.49019607843137253,0.057412039385745954
175,70,360,0,605,0.4049586776859504,0.32710280373831774,1.0,0.49295774647887325,0.0592788066639996
175,74,356,0,605,0.4115702479338843,0.3295668549905838,1.0,0.49575070821529743,0.06037662756173002
175,78,352,0,605,0.41818181818181815,0.33206831119544594,1.0,0.4985754985754986,0.061583102184354026
175,82,348,0,605,0.42479338842975206,0.33460803059273425,1.0,0.501432664756447,0.06198180659665352
175,86,344,0,605,0.43140495867768597,0.3371868978805395,1.0,0.5043227665706053,0.06299184915403387
175,90,340,0,605,0.4380165289256198,0.33980582524271846,1.0,0.5072463768115942,0.0643641703740862
175,94,336,0,605,0.4446280991735537,0.3424657534246575,1.0,0.5102040816326531,0.06628166656186116
175,98,332,0,605,0.4512396694214876,0.34516765285996054,1.0,0.5131964809384164,0.06839964978466889
175,102,328,0,605,0.4578512396694215,0.34791252485089463,1.0,0.5162241887905604,0.0703115472821581
175,106,324,0,605,0.4644628099173554,0.35070140280561124,1.0,0.5192878338278932,0.07182113167583534
175,110,320,0,605,0.47107438016528924,0.35353535353535354,1.0,0.5223880597014925,0.07312819458594254
175,114,316,0,605,0.47768595041322315,0.3564154786150713,1.0,0.5255255255255256,0.07400255436685259
175,117,313,0,605,0.4826446280991736,0.35860655737704916,1.0,0.5279034690799397,0.07607274241245425
175,118,312,0,605,0.484297520661157,0.3593429158110883,1.0,0.5287009063444108,0.0771351206430652
175,122,308,0,605,0.4909090909090909,0.36231884057971014,1.0,0.5319148936170213,0.08034688214187653
174,126,304,1,605,0.49586776859504134,0.36401673640167365,0.9942857142857143,0.5329249617151608,0.08778171954598994
173,128,302,2,605,0.4975206611570248,0.3642105263157895,0.9885714285714285,0.5323076923076924,0.09857316947723388
172,128,302,3,605,0.49586776859504134,0.3628691983122363,0.9828571428571429,0.5300462249614792,0.0989678641733707
171,131,299,4,605,0.4991735537190083,0.3638297872340426,0.9771428571428571,0.5302325581395348,0.11047785076198961
170,134,296,5,605,0.5024793388429752,0.3648068669527897,0.9714285714285714,0.5304212168486739,0.1210735965420135
170,134,296,5,605,0.5024793388429752,0.3648068669527897,0.9714285714285714,0.5304212168486739,0.12109287676955227
169,137,293,6,605,0.5057851239669422,0.3658008658008658,0.9657142857142857,0.5306122448979592,0.12628255626499246
169,141,289,6,605,0.512396694214876,0.36899563318777295,0.9657142857142857,0.5339652448657188,0.1292453430687021
169,145,285,6,605,0.5190082644628099,0.3722466960352423,0.9657142857142857,0.5373608903020667,0.1342283384211911
167,147,283,8,605,0.5190082644628099,0.3711111111111111,0.9542857142857143,0.5344000000000001,0.14027079487806995
167,151,279,8,605,0.5256198347107438,0.3744394618834081,0.9542857142857143,0.5378421900161031,0.1427859095206996
167,154,276,8,605,0.5305785123966942,0.37697516930022573,0.9542857142857143,0.5404530744336569,0.1435740236067931
167,155,275,8,605,0.5322314049586777,0.3778280542986425,0.9542857142857143,0.5413290113452188,0.14392242541729197
167,159,271,8,605,0.5388429752066116,0.3812785388127854,0.9542857142857143,0.5448613376835236,0.1477941587731342
167,163,267,8,605,0.5454545454545454,0.3847926267281106,0.9542857142857143,0.548440065681445,0.14961121432733213
167,167,263,8,605,0.5520661157024793,0.3883720930232558,0.9542857142857143,0.5520661157024793,0.15159314840351973
166,170,260,9,605,0.5553719008264463,0.38967136150234744,0.9485714285714286,0.5524126455906821,0.1545428559028062
166,174,256,9,605,0.5619834710743802,0.3933649289099526,0.9485714285714286,0.5561139028475712,0.15790152790922443
166,178,252,9,605,0.5685950413223141,0.39712918660287083,0.9485714285714286,0.5598650927487353,0.1648795229768593
166,180,250,9,605,0.571900826446281,0.39903846153846156,0.9485714285714286,0.5617597292724197,0.16607445067157275
165,181,249,10,605,0.571900826446281,0.39855072463768115,0.9428571428571428,0.5602716468590832,0.16814152292557208
165,185,245,10,605,0.5785123966942148,0.4024390243902439,0.9428571428571428,0.5641025641025641,0.17388782147793147
163,187,243,12,605,0.5785123966942148,0.4014778325123153,0.9314285714285714,0.5611015490533563,0.18154899090768503
163,191,239,12,605,0.5851239669421487,0.4054726368159204,0.9314285714285714,0.5649913344887348,0.18453036128394557
160,192,238,15,605,0.5818181818181818,0.4020100502512563,0.9142857142857143,0.5584642233856894,0.18857487773635237
160,192,238,15,605,0.5818181818181818,0.4020100502512563,0.9142857142857143,0.5584642233856894,0.18915001448208846
158,194,236,17,605,0.5818181818181818,0.4010152284263959,0.9028571428571428,0.5553602811950791,0.19311989483217262
156,197,233,19,605,0.5834710743801653,0.40102827763496146,0.8914285714285715,0.5531914893617021,0.1975666820862949
153,198,232,22,605,0.5801652892561984,0.3974025974025974,0.8742857142857143,0.5464285714285715,0.20035573154167838
150,199,231,25,605,0.5768595041322314,0.3937007874015748,0.8571428571428571,0.539568345323741,0.20427744101757972
147,200,230,28,605,0.5735537190082645,0.38992042440318303,0.84,0.532608695652174,0.206136530303715
139,200,230,36,605,0.5603305785123966,0.37669376693766937,0.7942857142857143,0.511029411764706,0.2074205875396728
139,200,230,36,605,0.5603305785123966,0.37669376693766937,0.7942857142857143,0.511029411764706,0.20743155719849882
137,202,228,38,605,0.5603305785123966,0.37534246575342467,0.7828571428571428,0.5074074074074074,0.2094332996462815
136,205,225,39,605,0.5636363636363636,0.3767313019390582,0.7771428571428571,0.5074626865671642,0.21074453842959945
135,205,225,40,605,0.5619834710743802,0.375,0.7714285714285715,0.5046728971962617,0.21107530480113199
133,206,224,42,605,0.5603305785123966,0.37254901960784315,0.76,0.5,0.212566041380767
131,208,222,44,605,0.5603305785123966,0.37110481586402266,0.7485714285714286,0.49621212121212127,0.21454106169258982
128,209,221,47,605,0.5570247933884298,0.3667621776504298,0.7314285714285714,0.4885496183206106,0.21556000729335234
127,212,218,48,605,0.5603305785123966,0.3681159420289855,0.7257142857142858,0.48846153846153856,0.21739728938093117
124,213,217,51,605,0.5570247933884298,0.36363636363636365,0.7085714285714285,0.48062015503875966,0.21973181195227087
115,213,217,60,605,0.5421487603305785,0.3463855421686747,0.6571428571428571,0.4536489151873767,0.2204569876194
113,214,216,62,605,0.540495867768595,0.3434650455927052,0.6457142857142857,0.44841269841269843,0.2225205237657431
111,216,214,64,605,0.540495867768595,0.3415384615384615,0.6342857142857142,0.444,0.2269893588427729
109,218,212,66,605,0.540495867768595,0.3395638629283489,0.6228571428571429,0.43951612903225806,0.23078657899326924
108,221,209,67,605,0.543801652892562,0.34069400630914826,0.6171428571428571,0.43902439024390244,0.2335757318659116
108,221,209,67,605,0.543801652892562,0.34069400630914826,0.6171428571428571,0.43902439024390244,0.23365639431964627
105,222,208,70,605,0.540495867768595,0.3354632587859425,0.6,0.43032786885245905,0.23984538182716242
105,226,204,70,605,0.547107438016529,0.33980582524271846,0.6,0.43388429752066116,0.2478957214103448
105,229,201,70,605,0.5520661157024793,0.3431372549019608,0.6,0.43659043659043656,0.2560761589306912
105,230,200,70,605,0.5537190082644629,0.3442622950819672,0.6,0.43749999999999994,0.259836417915837
105,232,198,70,605,0.5570247933884298,0.3465346534653465,0.6,0.4393305439330544,0.27857658599547086
105,235,195,70,605,0.5619834710743802,0.35,0.6,0.4421052631578947,0.2813945452838937
105,239,191,70,605,0.5685950413223141,0.3547297297297297,0.6,0.445859872611465,0.2895154236323081
104,242,188,71,605,0.571900826446281,0.3561643835616438,0.5942857142857143,0.44539614561027835,0.2970536731553557
104,243,187,71,605,0.5735537190082645,0.35738831615120276,0.5942857142857143,0.4463519313304721,0.3010770130602505
104,246,184,71,605,0.5785123966942148,0.3611111111111111,0.5942857142857143,0.44924406047516197,0.3073293420108373
103,249,181,72,605,0.5818181818181818,0.3626760563380282,0.5885714285714285,0.44880174291938996,0.3135574876350044
103,253,177,72,605,0.5884297520661157,0.3678571428571429,0.5885714285714285,0.45274725274725275,0.3165553942622754
103,257,173,72,605,0.5950413223140496,0.37318840579710144,0.5885714285714285,0.45676274944567624,0.31983494931179396
103,261,169,72,605,0.6016528925619835,0.3786764705882353,0.5885714285714285,0.46085011185682323,0.321016140680185
102,263,167,73,605,0.6033057851239669,0.379182156133829,0.5828571428571429,0.45945945945945943,0.3235774401250301
102,264,166,73,605,0.6049586776859505,0.3805970149253731,0.5828571428571429,0.4604966139954853,0.3259549631592411
102,268,162,73,605,0.6115702479338843,0.38636363636363635,0.5828571428571429,0.4646924829157176,0.33632493202878266
101,271,159,74,605,0.6148760330578512,0.38846153846153847,0.5771428571428572,0.4643678160919541,0.3460778671898097
101,271,159,74,605,0.6148760330578512,0.38846153846153847,0.5771428571428572,0.4643678160919541,0.3461115987436883
101,275,155,74,605,0.6214876033057851,0.39453125,0.5771428571428572,0.46867749419953597,0.36644863290914753
100,275,155,75,605,0.6198347107438017,0.39215686274509803,0.5714285714285714,0.46511627906976744,0.3685782942545893
100,277,153,75,605,0.6231404958677685,0.3952569169960474,0.5714285714285714,0.4672897196261682,0.39107872131936894
99,277,153,76,605,0.6214876033057851,0.39285714285714285,0.5657142857142857,0.46370023419203743,0.39388519719543075
98,280,150,77,605,0.6247933884297521,0.3951612903225806,0.56,0.46335697399527187,0.4122106944306581
98,280,150,77,605,0.6247933884297521,0.3951612903225806,0.56,0.46335697399527187,0.41357914838414855
98,284,146,77,605,0.631404958677686,0.4016393442622951,0.56,0.4677804295942721,0.4243390850180747
97,287,143,78,605,0.6347107438016529,0.4041666666666667,0.5542857142857143,0.4674698795180723,0.43596679612694167
97,287,143,78,605,0.6347107438016529,0.4041666666666667,0.5542857142857143,0.4674698795180723,0.43607957544892817
96,288,142,79,605,0.6347107438016529,0.40336134453781514,0.5485714285714286,0.4648910411622276,0.4585800025137078
