scenario,sample_count,min_latency_ms,median_p50_ms,mean_latency_ms,p90_ms,p95_ms,p99_ms,max_latency_ms,std_ms
WARM_NORMAL,200,0.3699,0.3992,0.4008,0.4096,0.4166,0.48,0.5674,0.0184
ANOMALY,200,0.4109,0.4412,0.4444,0.4541,0.4702,0.5105,0.5548,0.0157
MISSING_DATA,200,0.0029,0.0034,0.0038,0.0043,0.0045,0.0105,0.0204,0.0017
INSUFFICIENT_DATA,200,0.0033,0.0035,0.0036,0.0039,0.0045,0.0049,0.009,0.0005
MULTI_SENSOR,200,0.4105,0.4388,0.4405,0.4505,0.4586,0.4927,0.5129,0.012
DIRECT_ENGINE_INFERENCE,200,0.3661,0.3955,0.3959,0.4079,0.4125,0.4444,0.4608,0.0119
